K,r,eigval_no_gauge_0,eigval_no_gauge_1,eigval_no_gauge_2,eigval_no_gauge_3,eigval_no_gauge_4,eigval_no_gauge_5,eigval_no_gauge_6,eigval_no_gauge_7,eigval_no_gauge_8
0.40000000000021974,0.803651957497394,-1.904416605225587,-1.7170892301651484,-1.4439147164186543,-1.271717371801338,-1.0532640664879134,-0.8567349982818612,-0.5393739227763049,-0.40961420841256224,-0.23005290690258542
0.40100000000021974,0.8056992995452388,-1.9146986549780556,-1.7267348373950449,-1.4528062201445493,-1.280639827268811,-1.058653484505484,-0.8651255593811105,-0.5515682055972382,-0.4163989093293965,-0.2324885241535761
0.40200000000021974,0.8076880524182658,-1.9248678165369673,-1.7362714199423024,-1.4616060445518246,-1.289445430427627,-1.0639805283207147,-0.8734210856073267,-0.5635291103294272,-0.42300803015617316,-0.2348154850306016
0.40300000000021974,0.8096219170752647,-1.9349320946952036,-1.7457059400343804,-1.4703198829912165,-1.2981418150098014,-1.0692495794251184,-0.8816262984582593,-0.5752688184848367,-0.429452851921582,-0.23704701398471262
0.40400000000021974,0.8115042089323958,-1.9448985982764966,-1.7550446307482934,-1.4789528958216143,-1.3067357842249316,-1.074464551132195,-0.8897454686916693,-0.5867987199395597,-0.4357435839382589,-0.23919415382223677
0.40500000000021974,0.8133379132960415,-1.954773675071105,-1.764293100823228,-1.4875097785771014,-1.3152334333882254,-1.0796289566756883,-0.8977824774341645,-0.5981294413072572,-0.4418895008628957,-0.24126620373465701
0.40600000000021974,0.815125730775314,-1.9645630215438878,-1.7734564205919112,-1.4959948190671652,-1.3236402499667759,-1.0847459649658686,-0.9057408670613728,-0.6092708851756475,-0.44789905792972023,-0.24327105585453748
0.40700000000021974,0.8168701148306813,-1.9742717728848254,-1.782539193074621,-1.5044119455705625,-1.3319611959788027,-1.089818446660199,-0.9136238838613596,-0.6202322747038892,-0.4537799884048562,-0.24521545661155336
0.40800000000021974,0.8185733030820259,-1.983904577567537,-1.7915456132850138,-1.5127647677938394,-1.3402007764446728,-1.0948490125485715,-0.9214345140390834,-0.6310222000830135,-0.45953938648332193,-0.24710521171854882
0.40900000000021974,0.820237343616135,-1.9934656595799618,-1.8004795180821382,-1.5210566118992181,-1.3483630967036846,-1.0998400457814632,-0.929175514277895,-0.6416486647231789,-0.465183778197303,-0.24894534845014987
0.41000000000021974,0.8218641172353806,-2.002958870696327,-1.80934442833322,-1.529290550648633,-1.3564519107245951,-1.104793729100925,-0.9368494378409765,-0.6521191296062281,-0.47071918241339067,-0.2507402452126578
0.41100000000021975,0.8234553564267083,-2.012387734796474,-1.8181435848814602,-1.5374694294518318,-1.3644706621668043,-1.1097120680373445,-0.9444586569310021,-0.662440555711797,-0.4761511635335162,-0.2524937358958817
0.41200000000021975,0.8250126615902599,-2.021755485520912,-1.8268799793034958,-1.5455958890303727,-1.372422519398811,-1.1145969107335882,-0.9520053819939926,-0.6726194432476519,-0.48148487730322614,-0.25420919449336965
0.41300000000021975,0.8265375150306687,-2.0310650985617507,-1.8355563804335682,-1.553672385196998,-1.3803104056020987,-1.1194499650193253,-0.9594916784143379,-0.6826618682404194,-0.48672511077278985,-0.2558896042656911
0.41400000000021975,0.8280312930694564,-2.0403193194560267,-1.8441753573217066,-1.5617012062048727,-1.3881370247579772,-1.1242728131763602,-0.9669194810305676,-0.6925735162076663,-0.491876317324871,-0.25753761463427743
0.41500000000021975,0.8294952765830731,-2.0495206876344643,-1.8527392992044824,-1.5696844880249048,-1.3959048841944786,-1.129066924770643,-0.9742906068025607,-0.7023597130598376,-0.49694264750107964,-0.2591555882843978
0.41600000000021975,0.8309306602122277,-2.0586715573267718,-1.8612504329537745,-1.577624227849785,-1.4036163142375477,-1.1338336678537357,-0.9816067659062461,-0.7120254533819409,-0.5019279762360813,-0.2607456403970573
0.41700000000021975,0.8323385604437321,-2.0677741158134557,-1.8697108383850793,-1.5855222960732924,-1.411273485411166,-1.1385743187817512,-0.9888695714848835,-0.7215754262710395,-0.5068359270054296,-0.262309671510873
0.41800000000021975,0.8337200227307586,-2.0768303994259303,-1.8781224617400998,-1.5933804469529296,-1.4188784235519412,-1.1432900708561988,-0.9960805482479895,-0.731014038915777,-0.5116698933102835,-0.2638493951962212
0.41900000000021975,0.8350760277890851,-2.085842307626554,-1.8864871276047082,-1.601200328130834,-1.4264330231405742,-1.1479820419562086,-1.003241140078036,-0.7403454381040858,-0.516433057854438,-0.26536636147918014
0.42000000000021975,0.8364074971840563,-2.0948116154437484,-1.8948065494801274,-1.6089834891609154,-1.4339390591017067,-1.1526512813034293,-1.010352716779703,-0.7495735298389911,-0.5211284097137103,-0.26686197676364093
0.42100000000021975,0.83771529830444,-2.103739984491815,-1.9030823391900034,-1.6167313891678186,-1.4413981972825505,-1.1572987754780313,-1.0174165800856372,-0.7587019972325586,-0.525758759752071,-0.26833752085261836
0.42200000000021975,0.8390002488041981,-2.1126289727679985,-1.9113160152773123,-1.6244454037448328,-1.448812003787123,-1.1619254537855173,-1.0244339690153967,-0.7677343168363444,-0.5303267545011419,-0.26979416155433567
